CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Master Beneficiary Summary File (MBSF) Base A/B/C/D Version 2 (V2)
Version — March 2025
SAS name	Label	Type	Length
PTD_PBP_ID_05	Part D Plan Benefit Package ID - May	CHAR	3
PTD_PBP_ID_06	Part D Plan Benefit Package ID - June	CHAR	3
PTD_PBP_ID_07	Part D Plan Benefit Package ID - July	CHAR	3
PTD_PBP_ID_08	Part D Plan Benefit Package ID - August	CHAR	3
PTD_PBP_ID_09	Part D Plan Benefit Package ID - September	CHAR	3
PTD_PBP_ID_10	Part D Plan Benefit Package ID - October	CHAR	3
PTD_PBP_ID_11	Part D Plan Benefit Package ID - November	CHAR	3
PTD_PBP_ID_12	Part D Plan Benefit Package ID - December	CHAR	3
PTD_SGMT_ID_01	Part D Segment ID - January	CHAR	3
PTD_SGMT_ID_02	Part D Segment ID - February	CHAR	3
PTD_SGMT_ID_03	Part D Segment ID - March	CHAR	3
PTD_SGMT_ID_04	Part D Segment ID - April	CHAR	3
PTD_SGMT_ID_05	Part D Segment ID - May	CHAR	3
PTD_SGMT_ID_06	Part D Segment ID - June	CHAR	3
PTD_SGMT_ID_07	Part D Segment ID - July	CHAR	3
PTD_SGMT_ID_08	Part D Segment ID - August	CHAR	3
PTD_SGMT_ID_09	Part D Segment ID - September	CHAR	3
PTD_SGMT_ID_10	Part D Segment ID - October	CHAR	3
PTD_SGMT_ID_11	Part D Segment ID - November	CHAR	3
PTD_SGMT_ID_12	Part D Segment ID - December	CHAR	3
RDS_IND_01	Retiree Drug Subsidy Indicators - January	CHAR	1
RDS_IND_02	Retiree Drug Subsidy Indicators - February	CHAR	1
RDS_IND_03	Retiree Drug Subsidy Indicators - March	CHAR	1
RDS_IND_04	Retiree Drug Subsidy Indicators - April	CHAR	1
RDS_IND_05	Retiree Drug Subsidy Indicators - May	CHAR	1
RDS_IND_06	Retiree Drug Subsidy Indicators - June	CHAR	1
RDS_IND_07	Retiree Drug Subsidy Indicators - July	CHAR	1
RDS_IND_08	Retiree Drug Subsidy Indicators - August	CHAR	1
RDS_IND_09	Retiree Drug Subsidy Indicators - September	CHAR	1
RDS_IND_10	Retiree Drug Subsidy Indicators - October	CHAR	1
RDS_IND_11	Retiree Drug Subsidy Indicators - November	CHAR	1
RDS_IND_12	Retiree Drug Subsidy Indicators - December	CHAR	1
CST_SHR_GRP_CD_01	Cost Share Group Code - January	CHAR	2
CST_SHR_GRP_CD_02	Cost Share Group Code - February	CHAR	2
CST_SHR_GRP_CD_03	Cost Share Group Code - March	CHAR	2
CST_SHR_GRP_CD_04	Cost Share Group Code - April	CHAR	2
CST_SHR_GRP_CD_05	Cost Share Group Code - May	CHAR	2
CST_SHR_GRP_CD_06	Cost Share Group Code - June	CHAR	2
CST_SHR_GRP_CD_07	Cost Share Group Code - July	CHAR	2
CST_SHR_GRP_CD_08	Cost Share Group Code - August	CHAR	2
CST_SHR_GRP_CD_09	Cost Share Group Code - September	CHAR	2
CST_SHR_GRP_CD_10	Cost Share Group Code - October	CHAR	2
CST_SHR_GRP_CD_11	Cost Share Group Code - November	CHAR	2
CST_SHR_GRP_CD_12	Cost Share Group Code - December	CHAR	2
