CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Accountable Health Communities (AHC) Model Data File
Version — May 2025
SAS name	Label	Type	Length
NN_SPLMTL_MH_OUTCM_UNK_SW	Navigated Supplemental HRSN Mental Health Outcome Unknown	CHAR	1
NN_SPLMT_PHYS_ACT_RSLVD_SW	Navigated Supplemental HRSN Physical Activity Resolved	CHAR	1
NN_SPLMT_PHYS_ACT_CNCT_CSP_SW	Navigated Splmt HRSN Physical Activity Connected to Community Serv Prvdr	CHAR	1
NN_SPLMT_PHYS_ACT_OPTOUT_SW	Navigated Supplemental HRSN Physical Activity Opted Out	CHAR	1
NN_SPLMT_PHYS_ACT_CNTCT_FAIL_SW	Navigated Supplemental HRSN Physical Activity Attempts to Reach Failed	CHAR	1
NN_SPLMT_PHYS_ACT_CSP_UNAVBL_SW	Navigated Splmt HRSN Physical Activity Community Serv Prvdr Unable to Help	CHAR	1
NN_SPLMT_PHYS_ACT_OUTCM_UNK_SW	Navigated Supplemental HRSN Physical Activity Outcome Unknown	CHAR	1
NN_SPLMT_SBSTN_USE_RSLVD_SW	Navigated Supplemental HRSN Substance Use Resolved	CHAR	1
NN_SPLMT_SBSTN_USE_CNCT_CSP_SW	Navigated Splmt HRSN Substance Use Connected to Community Service Provider	CHAR	1
NN_SPLMT_SBSTN_USE_OPTOUT_SW	Navigated Supplemental HRSN Substance Use Opted Out	CHAR	1
NN_SPLMT_SBSTN_USE_CNTCT_FAIL_SW	Navigated Supplemental HRSN Substance Use Attempts to Reach Failed	CHAR	1
NN_SPLMT_SBSTN_USE_CSP_UNAVBL_SW	Navigated Splmt HRSN Substance Use Community Service Provider Unable to Help	CHAR	1
NN_SPLMT_SBSTN_USE_OUTCM_UNK_SW	Navigated Supplemental HRSN Substance Use Outcome Unknown	CHAR	1
1In 2025, this field was renamed to sex to comply with Executive Order 14168.
