CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Plan Characteristics File — Plan Base File
Version — October 2025
GAP_MOPP_COINS_2M	Gap Coinsurance Split Network Preferred Mail Order - 2 month supply	NUM	12	X	X
GAP_MOPP_COINS_3M	Gap Coinsurance Split Network Preferred Mail Order - 3 month supply	NUM	12	X	X
GAP_MOPP_COPAY_1M	Gap Copay Split Network Preferred Mail Order - 1 month supply	NUM	12	X	X
GAP_MOPP_COPAY_2M	Gap Copay Split Network Preferred Mail Order - 2 month supply	NUM	12	X	X
GAP_MOPP_COPAY_3M	Gap Copay Split Network Preferred Mail Order - 3 month supply	NUM	12	X	X
GAP_MOPP_COPAY_DAILY	Gap Copay Split Network Preferred Mail Order - 1 day supply	NUM	12	X	X
GAP_DAYS_MOPP_1M	Gap Split Network Preferred Mail Order - number of days in 1 month supply	NUM	5	X	X
GAP_DAYS_MOPP_2M	Gap Split Network Preferred Mail Order - number of days in 2 month supply	NUM	5	X	X
GAP_DAYS_MOPP_3M	Gap Split Network Preferred Mail Order - number of days in 3 month supply	NUM	5	X	X
GAP_MONPP_COINS_1M	Gap Coinsurance Split Network Standard Mail Order - 1 month supply	NUM	12	X	X
GAP_MONPP_COINS_2M	Gap Coinsurance Split Network Standard Mail Order - 2 month supply	NUM	12	X	X
GAP_MONPP_COINS_3M	Gap Coinsurance Split Network Standard Mail Order - 3 month supply	NUM	12	X	X
GAP_MONPP_COPAY_1M	Gap Copay Split Network Standard Mail Order - 1 month supply	NUM	12	X	X
GAP_MONPP_COPAY_2M	Gap Copay Split Network Standard Mail Order - 2 month supply	NUM	12	X	X
GAP_MONPP_COPAY_3M	Gap Copay Split Network Standard Mail Order - 3 month supply	NUM	12	X	X
GAP_MONPP_COPAY_DAILY	Gap Copay Split Network Standard Mail Order - 1 day supply	NUM	12	X	X
GAP_DAYS_MONPP_1M	Gap Split Network Standard Mail Order - number of days in 1 month supply	NUM	5	X	X
GAP_DAYS_MONPP_2M	Gap Split Network Standard Mail Order - number of days in 2 month supply	NUM	5	X	X
GAP_DAYS_MONPP_3M	Gap Split Network Standard Mail Order - number of days in 3 month supply	NUM	5	X	X
GAP_LTCP_COINS_1M	Gap Long Term Care Pharmacy Coinsurance for 1 month supply	NUM	12	X	X
GAP_LTCP_COPAY_1M	Gap Long Term Care Pharmacy Copay for 1 month supply	NUM	12	X	X
GAP_LTCP_COPAY_DAILY	Gap Copay Long Term Care Pharmacy - 1 day supply	NUM	12	X	X
GAP_DAYS_LTCP_1M	Gap Long Term Care Pharmacy - days in 1 month supply	NUM	5	X	X
Post-ICL Tier Cost-Sharing
POST_OOPT_TIER_DRUG_TYPE2	Post-Out-of-Pocket Threshold Drug Type by Tier	CHAR	6*	X	X
POST_OOPT_COSTSHARE_TYPE	Post-Out-of-Pocket Threshold Costshare Type by Tier	CHAR	1	X	X
POST_OOPT_COINS_PCT	Post-Out-of-pocket threshold Coinsurance Percentage	NUM	12	X	X
POST_OOPT_COPAY_AMT	Post-Out-of-Pocket Threshold Copay	NUM	12	X	X
POST_OOPT_EXCL_DRUG_CST_SHR	Post-Out-of-Pocket Threshold Costshare Type by Tier for Excluded Drugs	CHAR	1	-	X
Insulin Tier Cost-Sharing
INSULIN_INP_COPAY_1M	Insulin Copay Standard Retail - 1 month supply	NUM	12	-	X
INSULIN_INP_COPAY_2M	Insulin Copay Standard Retail - 2 month supply	NUM	12	-	X
INSULIN_INP_COPAY_3M	Insulin Copay Standard Retail - 3 month supply	NUM	12	-	X
INSULIN_INPP_COPAY_1M	Insulin Copay Split Network Preferred Retail - 1 month supply	NUM	12	-	X
INSULIN_INPP_COPAY_2M	Insulin Copay Split Network Preferred Retail - 2 month supply	NUM	12	-	X
INSULIN_INPP_COPAY_3M	Insulin Copay Split Network Preferred Retail - 3 month supply	NUM	12	-	X
INSULIN_MO_COPAY_1M	Insulin Copay Standard Mail Order - 1 month supply	NUM	12	-	X
INSULIN_MO_COPAY_2M	Insulin Copay Standard Mail Order - 2 month supply	NUM	12	-	X
INSULIN_MO_COPAY_3M	Insulin Copay Standard Mail Order - 3 month supply	NUM	12	-	X
INSULIN_MOPP_COPAY_1M	Insulin Copay Split Network Preferred Mail Order - 1 month supply	NUM	12	-	X
INSULIN_MOPP_COPAY_2M	Insulin Copay Split Network Preferred Mail Order - 2 month supply	NUM	12	-	X
INSULIN_MOPP_COPAY_3M	Insulin Copay Split Network Preferred Mail Order - 3 month supply	NUM	12	-	X
INSULIN_OONP_COPAY_1M	Insulin Copay Out-of-Network Pharmacy - 1 month supply	NUM	12	-	X
INSULIN_OONP_COPAY_OS	Insulin Copay Out-of-Network Pharmacy - Other days supply	NUM	12	-	X
INSULIN_LTCP_COPAY_1M	Insulin Copay Long Term Care Pharmacy - 1 month supply	NUM	12	-	X
1 This file applies only to Part D plans.
2 * indicates length change for the variable; length in the most recent file is displayed. Prior to the May 2018 update the length was 2.
3 Shading or '-' indicates that the variable was not present during this time.

CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Plan Characteristics File — Service Area File
Version — October 2025
Long SAS name	Label	Type	Length
CONTRACT_ID	Contract Identifier	CHAR	5
PLAN_ID	Plan Benefit Package Identifier	CHAR	3
SEGMENT_ID	Market Segment Identifier	CHAR	3
PTCD_INDICATOR	Indicates Whether the Current Year Plan is Part C, Part D or Both	CHAR	1
STATE_NAME	Segment State Name	CHAR	25
STATE_ABBRV	State Postal Code	CHAR	2
COUNTY_NAME	Segment County Name	CHAR	35
SSA_CODE	Segment SSA State and County Code	CHAR	5
PARTIAL_FLAG	Segment Partial County Indicator	CHAR	1
REGION_CODE	Segment Region Code	CHAR	2
REGION_NAME	Segment Region Name	CHAR	150

CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Plan Characteristics File — Plan Crosswalk File1
Version — October 2025
Long SAS name2	Label	Type	Length					Year of	data file4
				2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
RELATIONSHIP_CODE	Relationship Code3	CHAR	1	X	X	X	X	X	X	X	X	X	X
RELATIONSHIP_DESC	Relationship Description3	CHAR	15	X	X	X	X	X	X	X	X	X	X
PTCD_INDICATOR_15	Indicates Whether the Current Year Plan is Part C, Part D or Both	CHAR	1	X	-	-	-	-	-	-	-	-	-
CONTRACT_ID_15	Contract Identifier for Reference Year	CHAR	5	X	-	-	-	-	-	-	-	-	-
PLAN_ID_15	Plan Benefit Package Identifier for Reference Year	CHAR	3	X	-	-	-	-	-	-	-	-	-
