CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare-Medicaid Linked Enrollee Analytic Data Set (MMLEADS) — Beneficiary Summary File
August 2021
File Sequence	Long SAS NAME	Label	Type	Length
147	MDCD_FFS_MEDICAL_08	Medicaid - Fee-for-Service Medical Coverage Indicator - August	Num	8
148	MDCD_ELGBLTY_GRP_CD_08	Medicaid - Eligibility Group Code - August	Char	2
149	MDCD_ABD_08	Medicaid - Aged, Blind, Disabled Indicator - August	Num	8
150	MDCD_FFS_MEDICAL_09	Medicaid - Fee-for-Service Medical Coverage Indicator - September	Num	8
151	MDCD_ELGBLTY_GRP_CD_09	Medicaid - Eligibility Group Code - September	Char	2
152	MDCD_ABD_09	Medicaid - Aged, Blind, Disabled Indicator - September	Num	8
153	MDCD_FFS_MEDICAL_10	Medicaid - Fee-for-Service Medical Coverage Indicator - October	Num	8
154	MDCD_ELGBLTY_GRP_CD_10	Medicaid - Eligibility Group Code - October	Char	2
155	MDCD_ABD_10	Medicaid - Aged, Blind, Disabled Indicator - October	Num	8
156	MDCD_FFS_MEDICAL_11	Medicaid - Fee-for-Service Medical Coverage Indicator - November	Num	8
157	MDCD_ELGBLTY_GRP_CD_11	Medicaid - Eligibility Group Code - November	Char	2
158	MDCD_ABD_11	Medicaid - Aged, Blind, Disabled Indicator - November	Num	8
159	MDCD_FFS_MEDICAL_12	Medicaid - Fee-for-Service Medical Coverage Indicator - December	Num	8
160	MDCD_ELGBLTY_GRP_CD_12	Medicaid - Eligibility Group Code - December	Char	2
161	MDCD_ABD_12	Medicaid - Aged, Blind, Disabled Indicator - December	Num	8
162	MME_TYPE_CD_01	Medicare - Medicaid Eligibility Type Code - January	Num	8
163	MME_TYPE_CD_02	Medicare - Medicaid Eligibility Type Code - February	Num	8
164	MME_TYPE_CD_03	Medicare - Medicaid Eligibility Type Code - March	Num	8
165	MME_TYPE_CD_04	Medicare - Medicaid Eligibility Type Code - April	Num	8
166	MME_TYPE_CD_05	Medicare - Medicaid Eligibility Type Code - May	Num	8
167	MME_TYPE_CD_06	Medicare - Medicaid Eligibility Type Code - June	Num	8
168	MME_TYPE_CD_07	Medicare - Medicaid Eligibility Type Code - July	Num	8
169	MME_TYPE_CD_08	Medicare - Medicaid Eligibility Type Code - August	Num	8
170	MME_TYPE_CD_09	Medicare - Medicaid Eligibility Type Code - September	Num	8
171	MME_TYPE_CD_10	Medicare - Medicaid Eligibility Type Code - October	Num	8
172	MME_TYPE_CD_11	Medicare - Medicaid Eligibility Type Code - November	Num	8
173	MME_TYPE_CD_12	Medicare - Medicaid Eligibility Type Code - December	Num	8
174	RFRNC_YR	Reference Year	Char	4

CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare-Medicaid Linked Enrollee Analytic Data Set (MMLEADS) — Cost and Use Summary File
August 2021
File Sequence	Long SAS NAME	Label	Type	Length
1	BENE_ID	CCW Beneficiary Identifier	Num	8
2	MSIS_ID	State Assigned Beneficiary Unique Identifier	Char	32
3	STATE_CD	State Alpha Abbreviation	Char	2
4	MME_TYPE_CD	Annual Medicare - Medicaid Eligibility Type Code	Num	8
5	SAMPLE_GRP	Sample Group Indicator - 1%	Num	8
6	MDCR_TOTAL_FFS_USE	Medicare Use (FFS Claim Count) - Total	Num	8
7	MDCR_TOTAL_SPEND	Medicare Payment Amount - Total	Num	8
8	MDCR_TOTAL_FFS_SPEND	Medicare FFS Payment Amount - Total	Num	8
9	MDCD_TOTAL_USE	Medicaid Use (Claim Count) - Total	Num	8
10	MDCD_TOTAL_SPEND	Medicaid Payment Amount - Total	Num	8
11	MDCD_TOTAL_NON_CAPTD_SPEND	Medicaid Payment Amount - Non Capitated Total	Num	8
12	MDCR_PTA_TOTAL_FFS_USE	Medicare Use (FFS Claim Count) - Part A	Num	8
13	MDCR_PTA_TOTAL_FFS_SPEND	Medicare FFS Payment Amount - Part A	Num	8
14	MDCR_HOP_TOTAL_FFS_USE	Medicare Use (FFS Claim Count) - Hospital Outpatient	Num	8
15	MDCR_HOP_TOTAL_FFS_SPEND	Medicare FFS Payment Amount - Hospital Outpatient	Num	8
16	MDCR_PTBNI_TOTAL_FFS_USE	Medicare Use (FFS Claim Count) - Part B Non-Institutional	Num	8
17	MDCR_PTBNI_TOTAL_FFS_SPEND	Medicare FFS Payment Amount - Part B Non-Institutional	Num	8
18	MDCR_PTD_TOTAL_USE	Medicare Use (Claim Count) - PDE	Num	8
19	MDCR_PTD_TOTAL_SPEND	Medicare Payment Amount - PDE	Num	8
20	MDCD_IP_TOTAL_USE	Medicaid Use (Claim Count) - Inpatient	Num	8
21	MDCD_IP_TOTAL_SPEND	Medicaid Payment Amount - Inpatient	Num	8
22	MDCD_LT_TOTAL_USE	Medicaid Use (Claim Count) - Long Term Care	Num	8
23	MDCD_LT_TOTAL_SPEND	Medicaid Payment Amount - Long Term Care	Num	8
24	MDCD_OT_TOTAL_USE	Medicaid Use (Claim Count) - Other Services	Num	8
25	MDCD_OT_TOTAL_SPEND	Medicaid Payment Amount - Other Services	Num	8
26	MDCD_OT_MC_CAPTD_USE	Medicaid Managed Care Capitated Claim Count - Other Services	Num	8
27	MDCD_OT_MC_CAPTD_SPEND	Medicaid Managed Care Capitated Payment Amount - Other Services	Num	8
28	MDCD_RX_TOTAL_USE	Medicaid Use (Claim Count) - Rx	Num	8
29	MDCD_RX_TOTAL_SPEND	Medicaid Payment Amount - Rx	Num	8
30	MDCR_MC_PTA_PTB_CAPTD_SPEND	Medicare Part A/ Part B Managed Care Capitated Payment Amount	Num	8
31	MDCR_MC_PTA_PTB_CAPTD_SPEND_01	Medicare PTA/PTB Managed Care Capitated Payment Amount - January	Num	8
32	MDCR_MC_PTA_PTB_CAPTD_SPEND_02	Medicare PTA/PTB Managed Care Capitated Payment Amount - February	Num	8
33	MDCR_MC_PTA_PTB_CAPTD_SPEND_03	Medicare PTA/PTB Managed Care Capitated Payment Amount - March	Num	8
34	MDCR_MC_PTA_PTB_CAPTD_SPEND_04	Medicare PTA/PTB Managed Care Capitated Payment Amount - April	Num	8
35	MDCR_MC_PTA_PTB_CAPTD_SPEND_05	Medicare PTA/PTB Managed Care Capitated Payment Amount - May	Num	8
36	MDCR_MC_PTA_PTB_CAPTD_SPEND_06	Medicare PTA/PTB Managed Care Capitated Payment Amount - June	Num	8
37	MDCR_MC_PTA_PTB_CAPTD_SPEND_07	Medicare PTA/PTB Managed Care Capitated Payment Amount - July	Num	8
