variable_id,variable_name,variable_label,definition,source,source_url,source_document,extraction_notes
ahc-beneficiary-identifier,AHC_BENE_ID,AHC Beneficiary Identifier,,resdac_variable_page,https://resdac.org/cms-data/variables/ahc-beneficiary-identifier,data/raw/html/variable_page/c7b69e2ac1934e621c1b30a851c026f182074065.html,
ahc-bridge-organization-identifier,AHC_BRDG_ORG_ID,AHC Bridge Organization Identifier,,resdac_variable_page,https://resdac.org/cms-data/variables/ahc-bridge-organization-identifier,data/raw/html/variable_page/ad824d7a13797ab6f0df1c358d5d77f835224ac4.html,
ahc-bridge-organization-state,AHC_BRDG_ORG_STATE_CD,AHC Bridge Organization State,,resdac_variable_page,https://resdac.org/cms-data/variables/ahc-bridge-organization-state,data/raw/html/variable_page/02f173b8e12baec12b11a18543e011720ddc4520.html,
ahcah-waiver-submission-id,AHCAH_WVR_SUBMSN_ID,AHCAH Waiver Submission ID,,resdac_variable_page,https://resdac.org/cms-data/variables/ahcah-waiver-submission-id,data/raw/html/variable_page/0a7083bbb8ddb3b3169e6c068e74a2cabd022e70.html,
ahrq-clinical-classifications-software-refined-ccsr-diagnosis-1-category-code,DGNS_1_CCSR_CTGRY_CD,AHRQ Clinical Classifications Software Refined (CCSR) Diagnosis 1 Category Code,,resdac_variable_page,https://resdac.org/cms-data/variables/ahrq-clinical-classifications-software-refined-ccsr-diagnosis-1-category-code,data/raw/html/variable_page/10785794aa8737f0eeaeb33bb2cadc78c6385c84.html,
ajcc-cancer-staging-edition,AJCC_EDITION,AJCC Cancer Staging Edition,,resdac_variable_page,https://resdac.org/cms-data/variables/ajcc-cancer-staging-edition,data/raw/html/variable_page/58b9d35a18c24d8bc1f52606dbecf1c01880a29c.html,
alcohol-use-disorder-combined-data,ALCO_COMBINED,Alcohol Use Disorder - Combined Data,,resdac_variable_page,https://resdac.org/cms-data/variables/alcohol-use-disorder-combined-data,data/raw/html/variable_page/044dae6cffb5ffe034dc423cb2f20a194ef579fb.html,
alcohol-use-disorder-medicaid-only-data,ALCO_MEDICAID,Alcohol Use Disorder - Medicaid-Only Data,,resdac_variable_page,https://resdac.org/cms-data/variables/alcohol-use-disorder-medicaid-only-data,data/raw/html/variable_page/bc4e2fdefe10e787dc9e2f235dffff39e2f9f006.html,
alcohol-use-disorder-medicare-only-data,ALCO_MEDICARE,Alcohol Use Disorder - Medicare-Only Data,,resdac_variable_page,https://resdac.org/cms-data/variables/alcohol-use-disorder-medicare-only-data,data/raw/html/variable_page/d393f24dd5dbf4dc9b04c75d5bad446651e27f69.html,
alcohol-use-disorders-first-ever-occurrence-date-medicare-only-claims,ALCO_MEDICARE_EVER,Alcohol Use Disorders First Ever Occurrence Date - Medicare Only Claims,,resdac_variable_page,https://resdac.org/cms-data/variables/alcohol-use-disorders-first-ever-occurrence-date-medicare-only-claims,data/raw/html/variable_page/8f3d9411953ba21743dc4d07ac6941201eeb957b.html,
